category,affiliate_name,affiliate_code,website_name,website_url
Sport & Fitness,John Haack,BILBO10,Iron Rebel,https://ironrebel.com/
Diet & Nutrition,John Haack,Bilbo,RPStrength,https://renaissanceperiodization.com/
Supplements,John Haack,HAACK,Jacked Factory,https://www.jackedfactory.com/
Other,John Haack,BILBO10,Zone Smelling Salts,https://www.serioussteel.com/products/zone-smelling-salts
Diet & Nutrition,John Haack,Haack10,Eat Rite Foods,https://www.eatritefoods.com/
Sport & Fitness,Mattie Rogers,MATTIE10,2Pood,https://2pood.com/
Other,Joe Sullivan,SULLY20,Amino Asylum,https://aminoasylum.com/
Supplements,Joe Sullivan,SULLY10,Leviathan Nutrition,https://leviathan-nutrition.com/
Supplements,Joe Sullivan,SULLY10,110 Percent,https://papasupps.com/
Sport & Fitness,Joe Sullivan,SULLY20,The Breath Belt,https://thebreathbelt.com/
Apparel & Accessories,Joe Sullivan,SULLY10,Live Large Fitness,https://www.livelargefitness.com/
Apparel & Accessories,Cameron Brown,peach,The GBT Brand,https://thegbtbr&.com/
Supplements,Cameron Brown,peach,110 Percent,https://papasupps.com/
Electronics & Technology,Caroline Tusiuk,carolinecandace,BioLight,https://www.biolight.shop/
Sport & Fitness,Caroline Tusiuk,caroline100,Tonal,https://www.tonal.com/
Food & Grocery,Caroline Tusiuk,CAROLINECANDACE,Pique Tea,https://www.piquetea.com/
Food & Grocery,Caroline Tusiuk,CAROLINE,Namawell,https://namawell.com/
Food & Grocery,Caroline Tusiuk,,Thrive Market,https://thrivemarket.com/l&ing/partner/cj-bdgen25fogwp?utm_source=cj&utm_medium=affiliatemarketing&utm_campaign=Caroline%20Tusiuk&pid=100209425&aid=13895805&cjevent=19a6930f076f11ec83150c9e0a82b82c
Electronics & Technology,Caroline Tusiuk,,Air Doctor Pro,https://www.airdoctorpro.com/?c=cbuck&affid=491&oid=17
Apparel & Accessories,Bryce Lewis,BRYCE10,Virus Intl,https://virusintl.com/
Supplements,William Vieth,loljk,Covenant Athletics,https://covenantathletics.us/
